inventor_id,name,country
fl:we_ln:jiang-165,Wenjing Jiang,
fl:ei_ln:baumker-1,Eiko BÄUMKER,DE
fl:ri_ln:kroeger-1,Richard Kroeger,
fl:th_ln:bush-1,Thomas A. Bush,
fl:ma_ln:boudreaux-4,Matthew F. Boudreaux,US
fl:ge_ln:whitworth-1,Gerald Whitworth,
fl:ro_ln:egnatchik-1,Robert Egnatchik,
fl:th_ln:fleming-4,Thomas W. Fleming,US
fl:du_ln:moon-7,Duck Su Moon,
fl:sa_ln:woods-2,Samuel G. Woods,
fl:ta_ln:hosoda-4,Takuya Hosoda,JP
fl:ev_ln:mudrane-1,Eva K. Mudráné,HU
0000n8nqsxhrztn7djlxou00k,Muamer Zukic,
fl:do_ln:angelosanto-1,Donald J. Angelosanto,
fl:ba_ln:james-7,Barry James,GB
fl:le_ln:neitzel-1,Lee Allen Neitzel,US
fl:ja_ln:files-4,Jace W. Files,US
fl:st_ln:parkvall-1,Stefan Parkvall,
fl:ja_ln:feine-1,James Feine,
fl:ch_ln:gaal-1,Christopher Gaal,US
fl:mo_ln:narasaiah-1,Mohan Narasaiah,IN
fl:hi_ln:takeuchi-48,Hiroto Takeuchi,JP
fl:ch_ln:liu-1379,Chaopeng Liu,CN
fl:jo_ln:jung-23,Joon-Young Jung,KR
fl:br_ln:carette-2,Brigitte Carette,FR
fl:mi_ln:artinger-1,Michael A. Artinger,
fl:ed_ln:zizminskas-1,Edvinas ZIZMINSKAS,
fl:je_ln:bouchet-6,Jean Bouchet,
fl:te_ln:kaneko-13,Tetsuya Kaneko,JP
fl:an_ln:ferreol-1,Anne Ferreol,FR
fl:mi_ln:rector-1,Mindy Dawn Rector,
fl:jo_ln:matta-2,Joseph E. Matta,
fl:hi_ln:tanada-3,Hiroki Tanada,
fl:br_ln:brinson-2,Brad D. Brinson,US
fl:se_ln:kwon-94,Se-Ah Kwon,KR
fl:no_ln:kunze-1,Norbert Kunze,DE
fl:al_ln:bulla-1,Alexandre Bulla,CH
fl:vi_ln:benatti-1,Vincenzo Benatti,
fl:xu_ln:dong-28,Xue Dong,CN
fl:ju_ln:hirooka-2,Junji Hirooka,JP
fl:si_ln:chawla-1,Sidakpreet Singh Chawla,
fl:yu_ln:kawamoto-8,Yuka Kawamoto,JP
fl:fe_ln:wang-87,Feng Wang,CN
fl:da_ln:cvoric-1,Dalibor Cvoric,
fl:sa_ln:teramoto-3,Satoshi Teramoto,JP
fl:ha_ln:andersson-10,Hans Andersson,SE
fl:ka_ln:yamamoto-123,Katsutoshi Yamamoto,
fl:wa_ln:feghali-3,Wajdi K. Feghali,US
fl:ev_ln:seevinck-1,Evert Seevinck,NL
fl:ma_ln:marshall-19,Mary C. Marshall,US
fl:sa_ln:smith-27,Samuel Melvin Smith,
fl:yo_ln:fujii-7,Yosuke Fujii,JP
fl:mu_ln:ishikawa-1,Muriel Y. Ishikawa,US
fl:pe_ln:marbach-1,Peter Marbach,CH
fl:br_ln:fox-20,Brian G. Fox,US
fl:pa_ln:iannone-2,Patrick P. Iannone,US
fl:zh_ln:sun-126,Zhaohui Sun,
fl:ch_ln:liang-25,Chun-Sheng Liang,
fl:to_ln:yoshizawa-16,Toshio Yoshizawa,
fl:ru_ln:schickfluss-1,Rudolf Schickfluss,
fl:mi_ln:ignatieu-1,Mikhail Ignatieu,FR
fl:su_ln:hiyama-1,Susumu Hiyama,JP
fl:ka_ln:virtanen-3,Kari Virtanen,FI
fl:mi_ln:mursch-1,Michael Mursch,DE
0004z0eq002iqz3t9ecx7l5ml,Paul Barberi,FR
fl:aj_ln:luthra-1,Ajay Luthra,US
fl:ch_ln:vigild-1,Christian Winge Vigild,DE
fl:jo_ln:edwards-71,Joshua Edwards,
fl:th_ln:tellinghuisen-1,Thomas J. Tellinghuisen,US
fl:ro_ln:colwill-2,Robert Jerome Colwill,
fl:ri_ln:holub-1,Richard A. Holub,
fl:st_ln:stewart-18,Stephen Stewart,
fl:sc_ln:myers-6,Scott A. Myers,US
fl:bj_ln:gunderson-2,Bjorn Gunderson,
fl:hi_ln:kozai-2,Hiroaki Kozai,
fl:st_ln:hirsch-3,Steven B. Hirsch,US
fl:ma_ln:abdelrahman-2,Mahmoud F. Abdel-Rahman,
fl:ye_ln:wu-78,Yejun Wu,CN
fl:cy_ln:shovary-1,Cynthia Ann Shovary,
fl:jo_ln:ellenberger-2,Jonathan Ellenberger,US
fl:pr_ln:fick-1,Preston Fick,US
fl:ja_ln:schukat-1,Jan Schukat,DE
fl:ne_ln:harris-4,Neil Victor Harris,GB
fl:fa_ln:barbier-1,Fabrice Barbier,FR
fl:na_ln:kumagai-1,Naoyuki Kumagai,
fl:da_ln:garrett-17,Danny Garrett,
fl:an_ln:schulz-5,Anatol Schulz,DE
fl:xu_ln:bian-8,Xuqi Bian,
fl:wa_ln:chen-45,Wan-Chun Chen,
fl:ca_ln:zimmerman-4,Carey W. Zimmerman,
fl:ja_ln:cassoli-2,Jair CASSOLI,DE
fl:ke_ln:belyk-1,Kevin M. Belyk,US
fl:ro_ln:benkar-1,Rohan Benkar,US
fl:jo_ln:sporn-2,Joseph S. Sporn,
fl:ta_ln:chuman-2,Takashi Chuman,
fl:je_ln:powers-14,Jeffrey E. Powers,
fl:ke_ln:thompson-24,Kenneth O. Thompson,
fl:sh_ln:iwama-7,Shinichi Iwama,JP
fl:em_ln:sallard-1,Emmanuelle Sallard,FR
fl:se_ln:taffler-1,Sean Taffler,US
fl:ma_ln:awad-4,Mariette Awad,US
fl:je_ln:schmidt-12,Jeffrey C. Schmidt,
fl:cr_ln:noeldner-1,Craig Andrew Noeldner,US
fl:er_ln:berger-4,Eric L. Berger,US
fl:sc_ln:elwood-1,Scott H. Elwood,US
fl:ja_ln:hovis-1,James E. Hovis,
fl:my_ln:hunukumbure-1,Mythri HUNUKUMBURE,GB
fl:er_ln:urdang-1,Erik G. Urdang,
fl:de_ln:kurschner-2,Dennis L. Kurschner,
fl:da_ln:yu-50,Daniel Yu,US
fl:mo_ln:sawada-1,Motoshi Sawada,JP
fl:sa_ln:srinivasan-17,Saraswathy Srinivasan,
fl:st_ln:soldin-1,Steven J. Soldin,
fl:yi_ln:tseng-6,Yi-Ling Tseng,
fl:yo_ln:matsuda-49,Yoshimoto Matsuda,
fl:ro_ln:soler-3,Robert R. Soler,
fl:hi_ln:ikeda-32,Hidetsugu Ikeda,JP
fl:nu_ln:rosly-1,Nur Amalina Rosly,MY
fl:su_ln:lee-469,Su Jin Lee,KR
fl:ta_ln:nara-5,Takashi Nara,JP
fl:fr_ln:weisenborn-1,Frank L. Weisenborn,US
fl:th_ln:kaiser-5,Thomas Kaiser,
fl:br_ln:tockman-1,Bruce A. Tockman,
fl:ma_ln:baker-61,Martin C. Baker,US
fl:ho_ln:simionescu-1,Horia Simionescu,US
fl:ju_ln:koch-9,Juergen Koch,
fl:ko_ln:nose-4,Koichi Nose,JP
fl:ch_ln:li-887,Chao Li,CN
fl:er_ln:ruhrnschopf-1,Ernst-Peter Rührnschopf,DE
fl:wi_ln:bruls-8,Wilhelmus Hendrikus Alfonsus Bruls,
fl:al_ln:henderson-19,Alex E. Henderson,
fl:wa_ln:malkin-2,Wayne Allan Malkin,
fl:sh_ln:li-490,Shubo Li,CN
fl:hi_ln:watanabe-59,Hiroshi Watanabe,JP
fl:ha_ln:hsu-68,Hank Hsu,
fl:ro_ln:hurd-6,Robert J. Hurd,
fl:hi_ln:nagao-18,Hideki Nagao,JP
fl:na_ln:nagashima-3,Nao Nagashima,JP
fl:ri_ln:todd-3,Richard Simon Todd,
